user_id,position_id,company_id,rating
1,11,9,1
2,16,9,1
3,19,9,1
4,25,9,1
5,16,9,1
6,16,36,1
7,16,42,1
8,16,45,1
9,16,16,1
10,61,51,1
11,63,36,1
12,16,56,1
13,16,58,1
14,16,61,1
15,16,67,1
16,16,74,1
17,16,16,1
18,16,9,1
19,16,87,1
20,70,93,1
21,59,96,1
22,16,74,1
23,16,99,1
24,16,74,1
25,16,9,1
26,16,9,1
27,16,9,1
28,160,126,1
29,16,9,1
30,16,14,1
31,16,9,1
32,16,139,1
33,16,74,1
34,16,74,1
35,16,16,1
36,34,9,1
37,16,16,1
38,16,9,1
39,221,169,1
40,16,9,1
41,16,9,1
42,34,16,1
43,59,9,1
44,16,191,1
45,16,9,1
46,16,74,1
47,16,201,1
48,16,204,1
49,16,208,1
50,16,16,1
51,16,204,1
52,16,16,1
53,16,183,1
54,16,223,1
55,16,226,1
56,234,182,1
57,16,234,1
58,19,156,1
59,234,191,1
60,16,243,1
61,59,245,1
62,200,252,1
63,16,260,1
64,16,268,1
65,34,16,1
66,16,74,1
67,16,132,1
68,16,291,1
69,16,36,1
70,16,298,1
71,16,74,1
72,16,74,1
73,34,74,1
74,147,74,1
75,34,9,1
76,147,9,1
77,16,320,1
78,240,188,1
79,16,327,1
80,59,329,1
81,234,187,1
82,16,208,1
83,16,191,1
84,468,36,1
85,16,74,1
86,16,345,1
87,16,349,1
88,16,16,1
89,59,355,1
90,16,74,1
91,334,362,1
92,16,364,1
93,16,74,1
94,59,373,1
95,59,374,1
96,71,381,1
97,16,74,1
98,16,36,1
99,540,226,1
100,16,355,1
101,16,169,1
102,16,93,1
103,59,404,1
104,16,390,1
105,577,93,1
106,16,36,1
107,16,183,1
108,589,420,1
109,70,93,1
110,599,425,1
111,34,9,1
112,16,435,1
113,70,93,1
114,619,204,1
115,147,9,1
116,59,9,1
117,16,454,1
118,16,459,1
119,16,16,1
120,661,469,1
121,667,93,1
122,59,474,1
123,16,191,1
124,16,74,1
125,202,191,1
126,16,74,1
127,16,191,1
128,59,367,1
129,16,316,1
130,16,518,1
131,16,521,1
132,16,528,1
133,758,532,1
134,612,74,1
135,771,9,1
136,16,547,1
137,16,554,1
138,612,559,1
139,16,14,1
140,16,562,1
141,16,191,1
142,442,573,1
143,16,36,1
144,16,36,1
145,16,58,1
146,16,590,1
147,16,328,1
148,619,597,1
149,34,74,1
150,871,603,1
151,16,191,1
152,748,614,1
153,16,36,1
154,900,628,1
155,16,632,1
156,917,637,1
157,927,186,1
158,16,650,1
159,210,657,1
160,16,253,1
161,234,666,1
162,16,36,1
163,16,674,1
164,251,196,1
165,34,62,1
166,16,690,1
167,16,694,1
168,34,74,1
169,1011,706,1
170,16,339,1
171,16,715,1
172,59,316,1
173,16,723,1
174,16,74,1
175,16,248,1
176,295,191,1
177,16,734,1
178,16,736,1
179,16,745,1
180,16,583,1
181,16,401,1
182,59,201,1
183,59,231,1
184,16,763,1
185,16,36,1
186,1119,58,1
187,16,776,1
188,16,781,1
189,16,156,1
190,16,36,1
