0	0	10.0
1	1	5.0
2	18	1.0
2	5	1.0
2	2	3.0
3	19	3.0
3	18	1.0
3	3	6.0
4	20	1.0
4	19	2.0
4	4	7.0
5	19	4.0
5	36	1.0
5	26	1.0
5	18	1.0
5	5	12.0
5	2	1.0
6	6	7.0
7	7	3.0
8	8	4.0
9	52	1.0
9	50	1.0
9	37	1.0
9	35	1.0
9	17	1.0
9	9	4.0
10	10	2.0
11	46	1.0
11	11	4.0
12	12	2.0
13	13	3.0
14	37	1.0
14	14	6.0
15	60	1.0
15	15	8.0
16	60	1.0
16	97	1.0
16	93	1.0
16	90	1.0
16	85	1.0
16	72	1.0
16	71	1.0
16	66	1.0
16	46	1.0
16	34	1.0
16	33	1.0
16	24	1.0
16	22	1.0
16	16	8.0
17	88	1.0
17	115	2.0
17	52	2.0
17	50	2.0
17	37	1.0
17	35	1.0
17	17	11.0
17	9	1.0
18	3	1.0
18	18	6.0
18	5	1.0
18	2	1.0
19	65	1.0
19	57	1.0
19	46	1.0
19	20	1.0
19	5	4.0
19	4	2.0
19	19	18.0
19	3	3.0
20	70	1.0
20	41	1.0
20	72	1.0
20	113	1.0
20	109	1.0
20	46	1.0
20	19	1.0
20	20	8.0
20	4	1.0
21	21	3.0
22	115	1.0
22	149	1.0
22	73	1.0
22	36	1.0
22	97	1.0
22	93	1.0
22	90	1.0
22	85	1.0
22	72	1.0
22	71	1.0
22	66	1.0
22	46	2.0
22	34	1.0
22	33	2.0
22	24	1.0
22	22	7.0
22	16	1.0
23	76	1.0
23	46	1.0
23	23	9.0
24	152	1.0
24	151	1.0
24	97	1.0
24	93	1.0
24	90	1.0
24	85	1.0
24	72	1.0
24	71	1.0
24	66	1.0
24	46	1.0
24	34	1.0
24	33	1.0
24	24	7.0
24	22	1.0
24	16	1.0
25	115	1.0
25	25	3.0
26	46	1.0
26	152	1.0
26	151	1.0
26	115	2.0
26	76	1.0
26	116	1.0
26	43	1.0
26	36	1.0
26	26	9.0
26	5	1.0
27	27	6.0
28	28	2.0
29	29	5.0
30	30	4.0
31	192	1.0
31	72	1.0
31	31	8.0
32	60	1.0
32	32	10.0
33	50	1.0
33	97	1.0
33	93	1.0
33	90	1.0
33	85	1.0
33	72	1.0
33	71	1.0
33	66	1.0
33	46	1.0
33	34	1.0
33	33	9.0
33	24	1.0
33	22	2.0
33	16	1.0
34	97	1.0
34	93	1.0
34	90	1.0
34	85	1.0
34	72	1.0
34	71	1.0
34	66	1.0
34	46	1.0
34	34	6.0
34	33	1.0
34	24	1.0
34	22	1.0
34	16	1.0
35	58	1.0
35	52	1.0
35	50	1.0
35	37	1.0
35	35	10.0
35	17	1.0
35	9	1.0
36	46	1.0
36	69	1.0
36	149	1.0
36	73	1.0
36	22	1.0
36	36	6.0
36	26	1.0
36	5	1.0
37	65	1.0
37	42	1.0
37	14	1.0
37	52	1.0
37	50	1.0
37	37	5.0
37	35	1.0
37	17	1.0
37	9	1.0
38	38	4.0
39	39	5.0
40	40	4.0
41	56	1.0
41	46	1.0
41	72	1.0
41	41	5.0
41	20	1.0
42	107	1.0
42	53	1.0
42	65	2.0
42	42	5.0
42	37	1.0
43	259	1.0
43	224	1.0
43	145	1.0
43	280	1.0
43	116	1.0
43	43	6.0
43	26	1.0
44	270	1.0
44	230	1.0
44	206	1.0
44	203	1.0
44	151	1.0
44	141	1.0
44	127	1.0
44	123	1.0
44	83	1.0
44	44	6.0
45	164	1.0
45	124	1.0
45	73	1.0
45	45	2.0
46	62	3.0
46	59	1.0
46	57	1.0
46	53	1.0
46	41	1.0
46	36	1.0
46	26	1.0
46	23	1.0
46	115	1.0
46	113	1.0
46	109	1.0
46	20	1.0
46	19	1.0
46	97	1.0
46	93	1.0
46	90	1.0
46	85	1.0
46	72	2.0
46	71	1.0
46	66	1.0
46	34	1.0
46	33	1.0
46	24	1.0
46	22	2.0
46	16	1.0
46	46	20.0
46	11	1.0
47	47	4.0
48	115	1.0
48	51	1.0
48	48	5.0
49	289	2.0
49	82	1.0
49	49	8.0
50	251	1.0
50	33	1.0
50	52	1.0
50	50	5.0
50	37	1.0
50	35	1.0
50	17	2.0
50	9	1.0
51	115	1.0
51	51	10.0
51	48	1.0
52	125	1.0
52	88	1.0
52	52	5.0
52	50	1.0
52	37	1.0
52	35	1.0
52	17	2.0
52	9	1.0
53	308	1.0
53	46	1.0
53	107	1.0
53	65	1.0
53	53	6.0
53	42	1.0
54	212	1.0
54	54	5.0
55	219	1.0
55	55	8.0
56	183	1.0
56	56	5.0
56	41	1.0
57	374	1.0
57	19	1.0
57	57	10.0
57	46	1.0
58	262	1.0
58	259	1.0
58	198	1.0
58	189	1.0
58	151	1.0
58	58	4.0
58	35	1.0
59	46	1.0
59	331	1.0
59	320	1.0
59	203	1.0
59	59	5.0
60	74	1.0
60	32	1.0
60	16	1.0
60	60	6.0
60	15	1.0
61	175	1.0
61	162	1.0
61	61	8.0
62	62	9.0
62	46	3.0
63	383	1.0
63	289	1.0
63	192	1.0
63	63	9.0
64	64	6.0
65	115	1.0
65	19	1.0
65	145	1.0
65	289	1.0
65	107	1.0
65	53	1.0
65	65	12.0
65	42	2.0
65	37	1.0
66	97	1.0
66	93	1.0
66	90	1.0
66	85	1.0
66	72	1.0
66	71	1.0
66	66	9.0
66	46	1.0
66	34	1.0
66	33	1.0
66	24	1.0
66	22	1.0
66	16	1.0
67	268	1.0
67	67	6.0
68	289	1.0
68	68	5.0
69	69	5.0
69	36	1.0
70	20	1.0
70	70	6.0
71	115	2.0
71	97	1.0
71	93	1.0
71	90	1.0
71	85	1.0
71	72	1.0
71	71	6.0
71	66	1.0
71	46	1.0
71	34	1.0
71	33	1.0
71	24	1.0
71	22	1.0
71	16	1.0
72	41	1.0
72	31	1.0
72	20	1.0
72	97	1.0
72	93	1.0
72	90	1.0
72	85	1.0
72	72	9.0
72	71	1.0
72	66	1.0
72	46	2.0
72	34	1.0
72	33	1.0
72	24	1.0
72	22	1.0
72	16	1.0
73	192	1.0
73	124	1.0
73	45	1.0
73	149	1.0
73	73	8.0
73	36	1.0
73	22	1.0
74	60	1.0
74	144	1.0
74	74	6.0
75	358	1.0
75	75	5.0
76	341	1.0
76	225	1.0
76	204	1.0
76	346	1.0
76	172	1.0
76	115	1.0
76	26	1.0
76	76	7.0
76	23	1.0
77	77	8.0
78	78	3.0
79	147	1.0
79	79	2.0
80	80	4.0
81	81	8.0
82	82	8.0
82	49	1.0
83	170	1.0
83	270	1.0
83	230	1.0
83	206	1.0
83	203	1.0
83	151	1.0
83	141	1.0
83	127	1.0
83	123	1.0
83	83	5.0
83	44	1.0
84	84	7.0
85	97	1.0
85	93	1.0
85	90	1.0
85	85	3.0
85	72	1.0
85	71	1.0
85	66	1.0
85	46	1.0
85	34	1.0
85	33	1.0
85	24	1.0
85	22	1.0
85	16	1.0
86	86	4.0
87	87	3.0
88	88	4.0
88	52	1.0
88	17	1.0
89	89	9.0
90	97	1.0
90	93	1.0
90	90	6.0
90	85	1.0
90	72	1.0
90	71	1.0
90	66	1.0
90	46	1.0
90	34	1.0
90	33	1.0
90	24	1.0
90	22	1.0
90	16	1.0
91	272	1.0
91	261	1.0
91	91	3.0
92	92	3.0
93	97	1.0
93	93	10.0
93	90	1.0
93	85	1.0
93	72	1.0
93	71	1.0
93	66	1.0
93	46	1.0
93	34	1.0
93	33	1.0
93	24	1.0
93	22	1.0
93	16	1.0
94	94	2.0
95	95	10.0
96	96	3.0
97	403	1.0
97	97	6.0
97	93	1.0
97	90	1.0
97	85	1.0
97	72	1.0
97	71	1.0
97	66	1.0
97	46	1.0
97	34	1.0
97	33	1.0
97	24	1.0
97	22	1.0
97	16	1.0
98	98	4.0
99	99	8.0
100	403	1.0
100	100	9.0
101	101	4.0
102	102	3.0
103	103	5.0
104	104	8.0
105	424	1.0
105	109	1.0
105	105	3.0
106	106	2.0
107	107	8.0
107	65	1.0
107	53	1.0
107	42	1.0
108	108	6.0
109	327	1.0
109	105	1.0
109	113	1.0
109	109	6.0
109	46	1.0
109	20	1.0
110	110	5.0
111	111	7.0
112	112	2.0
113	113	7.0
113	109	1.0
113	46	1.0
113	20	1.0
114	114	13.0
115	71	2.0
115	65	1.0
115	51	1.0
115	48	1.0
115	152	1.0
115	151	1.0
115	76	1.0
115	26	2.0
115	25	1.0
115	46	1.0
115	22	1.0
115	115	17.0
115	17	2.0
116	116	6.0
116	43	1.0
116	26	1.0
117	117	5.0
118	118	7.0
119	119	5.0
120	120	6.0
121	121	2.0
122	210	1.0
122	361	1.0
122	122	12.0
123	329	1.0
123	270	1.0
123	230	1.0
123	206	1.0
123	203	1.0
123	151	1.0
123	141	1.0
123	127	1.0
123	123	11.0
123	83	1.0
123	44	1.0
124	124	4.0
124	73	1.0
124	45	1.0
125	125	3.0
125	52	1.0
126	172	1.0
126	126	5.0
127	270	1.0
127	230	1.0
127	206	1.0
127	203	1.0
127	151	1.0
127	141	1.0
127	127	18.0
127	123	1.0
127	83	1.0
127	44	1.0
128	128	8.0
129	461	1.0
129	346	1.0
129	201	1.0
129	129	14.0
130	130	5.0
131	131	7.0
132	132	6.0
133	133	5.0
134	263	1.0
134	134	8.0
135	445	1.0
135	135	11.0
136	226	1.0
136	136	8.0
137	137	5.0
138	138	4.0
139	139	1.0
140	140	9.0
141	176	1.0
141	270	1.0
141	230	1.0
141	206	1.0
141	203	1.0
141	151	2.0
141	141	8.0
141	127	1.0
141	123	1.0
141	83	1.0
141	44	1.0
142	142	17.0
143	143	6.0
144	144	12.0
144	74	1.0
145	65	1.0
145	145	3.0
145	43	1.0
146	146	6.0
147	147	8.0
147	79	1.0
148	148	4.0
149	149	4.0
149	73	1.0
149	36	1.0
149	22	1.0
150	150	7.0
151	176	1.0
151	262	1.0
151	259	1.0
151	198	1.0
151	189	1.0
151	58	1.0
151	270	1.0
151	230	1.0
151	206	1.0
151	203	1.0
151	141	2.0
151	127	1.0
151	123	1.0
151	83	1.0
151	44	1.0
151	115	1.0
151	26	1.0
151	152	2.0
151	151	9.0
151	24	1.0
152	115	1.0
152	26	1.0
152	152	14.0
152	151	2.0
152	24	1.0
153	153	6.0
154	154	7.0
155	459	1.0
155	155	10.0
156	156	10.0
157	157	11.0
158	158	7.0
159	159	6.0
160	160	4.0
161	317	1.0
161	161	6.0
162	175	1.0
162	162	4.0
162	61	1.0
163	163	6.0
164	164	6.0
164	45	1.0
165	165	12.0
166	166	6.0
167	292	1.0
167	230	1.0
167	167	12.0
168	168	6.0
169	169	10.0
170	170	12.0
170	83	1.0
171	171	8.0
